"id";"name";"full_name";"number";"party";"federation";"occupation";"status";"status_checked_at";"tse_url"
"210002539806";"Luciano Orsi";"Luciano Liborio Baptista Orsi";"12222";"PDT";"";"Advogado";"Deferido";"2026-09-21T17:06:19.602788+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539806"
"210002539807";"Luis Fernando Braite";"Luis Fernando Peres dos Santos";"12192";"PDT";"";"Vereador";"Deferido";"2026-09-21T17:06:16.047539+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539807"
"210002539783";"Luiz Jacomini";"Luiz Jacomini Righi Filho";"12500";"PDT";"";"Servidor Público Estadual";"Deferido";"2026-09-21T17:06:19.926788+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539783"
"210002539800";"Luiz Marenco";"Luis Rogerio Marenco Ferran";"12220";"PDT";"";"Músico";"Deferido";"2026-09-21T17:06:15.092994+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539800"
"210002539791";"Mara Santos";"Cleomar Santos Oliveira";"12015";"PDT";"";"Auxiliar de Escritório e Assemelhados";"Deferido";"2026-09-21T17:06:22.147911+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539791"
"210002539802";"Márcia Borges";"Marcia Cristina Borges da Silva";"12035";"PDT";"";"Policial Militar";"Deferido";"2026-09-21T17:06:18.183817+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539802"
"210002539792";"Mari Kurz";"Mariluce dos Santos Kurz Vieira";"12555";"PDT";"";"Professor de Ensino Superior";"Deferido";"2026-09-21T17:06:14.831241+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539792"
"210002539822";"Paulinho da Bonja";"Paulo Roberto Silva";"12812";"PDT";"";"Outros";"Deferido";"2026-09-21T17:06:18.228304+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539822"
"210002539789";"Poli Martinazzo";"Poliana Martinazzo";"12003";"PDT";"";"Professor de Ensino Fundamental";"Deferido";"2026-09-21T17:06:16.108677+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539789"
"210002539794";"Policial Minetti";"José Antonio Flores Minetti";"12112";"PDT";"";"Servidor Público Estadual";"Deferido";"2026-09-21T17:06:17.878062+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539794"
"210002539808";"Pompeo Filho";"Matheus Porciuncula Machado Pompeo de Mattos";"12120";"PDT";"";"Advogado";"Deferido";"2026-09-21T17:06:16.089560+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539808"
"210002539819";"Prof. Luiz Fernando";"Luiz Fernando Cuozzo Lemos";"12400";"PDT";"";"Professor de Ensino Superior";"Deferido";"2026-09-21T17:06:19.514930+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539819"
"210002539786";"Professor Fumagalli";"Marco Antonio Fumagalli";"12007";"PDT";"";"Economista";"Deferido";"2026-09-21T17:06:22.983354+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539786"
"210002539817";"Professora Regina";"Regina Costa dos Santos";"12123";"PDT";"";"Professor de Ensino Fundamental";"Deferido";"2026-09-21T17:06:19.702476+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539817"
"210002539790";"Ràquel Möller";"Raquel Frantz Möller Estivalete";"12008";"PDT";"";"Relações-Públicas";"Deferido";"2026-09-21T17:06:15.136927+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539790"
"210002539818";"Regina Becker Fortunati";"Regina Maria Becker";"12580";"PDT";"";"Relações-Públicas";"Deferido";"2026-09-21T17:06:15.085760+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539818"
"210002539796";"Repórter Passarinho";"Vitor Luiz da Costa";"12420";"PDT";"";"Jornalista e Redator";"Deferido";"2026-09-21T17:06:21.251416+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539796"
"210002539784";"Rui Jordão";"Rui Antonio Garcia Jordão";"12056";"PDT";"";"Aposentado (Exceto Servidor Público)";"Deferido";"2026-09-21T17:06:21.323959+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539784"
"210002539823";"Sara Gall";"Sara Marrocos Bezerra Gall";"12712";"PDT";"";"Outros";"Deferido";"2026-09-21T17:06:19.751578+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539823"
"210002539804";"Thiago de Leon";"Thiago Engelman de Leon Madeira";"12050";"PDT";"";"Professor de Ensino Superior";"Deferido";"2026-09-21T17:06:21.146404+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539804"
"210002539805";"Tiago Cadó";"Tiago Cado Fernandes";"12000";"PDT";"";"Professor de Ensino Médio";"Deferido";"2026-09-21T17:06:22.113972+00:00";"https://divulgacandcontas.tse.jus.br/divulga/#/candidato/2026/20322002026/RS/210002539805"
